,year,month,day,max,min
0,2018,1,day1,20.836561,16.736518
1,2018,1,day10,21.856583,17.830588
2,2018,1,day11,21.834916,15.042358
3,2018,1,day12,19.041503,14.419585
4,2018,1,day13,22.743278,17.3969
5,2018,1,day14,17.556475,13.16961
6,2018,1,day15,22.084966,15.670062
7,2018,1,day16,21.84277,14.923842
8,2018,1,day17,20.217369,12.324905
9,2018,1,day18,19.271206,13.063044
10,2018,1,day19,21.976428,15.502349
11,2018,1,day2,18.650176,13.757333
12,2018,1,day20,22.170241,15.860833
13,2018,1,day21,21.227431,17.044133
14,2018,1,day22,18.36739,13.209838
15,2018,1,day23,17.478752,12.547588
16,2018,1,day24,17.606009,12.494114
17,2018,1,day25,20.814107,15.354778
18,2018,1,day26,19.221086,14.383058
19,2018,1,day27,18.601867,10.855249
20,2018,1,day28,20.888212,14.451688
21,2018,1,day29,18.026832,11.110325
22,2018,1,day3,21.418827,14.712029
23,2018,1,day30,17.980415,12.462593
24,2018,1,day31,22.93714,16.377141
25,2018,1,day4,22.353077,18.005322
26,2018,1,day5,19.531531,15.412342
27,2018,1,day6,18.311828,12.290407
28,2018,1,day7,17.159216,12.363865
29,2018,1,day8,20.899307,14.719541
30,2018,1,day9,18.322644,11.965581
31,2018,2,day1,24.341698,17.603241
32,2018,2,day10,24.368209,19.317242
33,2018,2,day11,24.507516,16.916224
34,2018,2,day12,23.396403,18.51912
35,2018,2,day13,26.985226,20.94712
36,2018,2,day14,21.545456,17.356991
37,2018,2,day15,21.657895,15.148111
38,2018,2,day16,25.752476,20.063836
39,2018,2,day17,21.381166,15.854689
40,2018,2,day18,26.976728,20.860271
41,2018,2,day19,26.82647,19.383351
42,2018,2,day2,26.057112,18.953112
43,2018,2,day20,21.068886,14.185999
44,2018,2,day21,25.090262,18.942381
45,2018,2,day22,22.600951,16.037104
46,2018,2,day23,21.669313,15.930252
47,2018,2,day24,23.722342,15.907079
48,2018,2,day25,26.255118,21.201561
49,2018,2,day26,24.003517,19.288909
50,2018,2,day27,26.475767,18.993693
51,2018,2,day28,22.790669,16.234871
52,2018,2,day29,24.653821,20.042464
53,2018,2,day3,22.374288,18.245887
54,2018,2,day30,25.575065,19.417549
55,2018,2,day31,25.671759,19.550344
56,2018,2,day4,22.892718,17.821755
57,2018,2,day5,22.265897,14.494258
58,2018,2,day6,26.258206,20.999494
59,2018,2,day7,24.932632,19.350104
60,2018,2,day8,26.487286,20.651878
61,2018,2,day9,22.589281,17.602771
62,2018,3,day1,23.931635,18.63501
63,2018,3,day10,25.518543,18.028811
64,2018,3,day11,26.467031,21.619838
65,2018,3,day12,27.16398,20.244255
66,2018,3,day13,25.13511,19.888244
67,2018,3,day14,29.899099,23.299587
68,2018,3,day15,26.556804,20.4865
69,2018,3,day16,24.654228,19.755439
70,2018,3,day17,25.956717,19.603482
71,2018,3,day18,25.308892,20.428022
72,2018,3,day19,24.354162,17.82975
73,2018,3,day2,24.045064,16.328669
74,2018,3,day20,25.301854,17.680174
75,2018,3,day21,29.086016,24.802586
76,2018,3,day22,25.356231,18.68032
77,2018,3,day23,25.213624,20.684377
78,2018,3,day24,29.541289,23.257116
79,2018,3,day25,26.764229,19.625752
80,2018,3,day26,28.773185,24.011546
81,2018,3,day27,24.509788,18.785583
82,2018,3,day28,26.469675,20.601576
83,2018,3,day29,28.302658,21.6092
84,2018,3,day3,29.200534,21.873872
85,2018,3,day30,29.833194,25.439523
86,2018,3,day31,26.343931,20.986721
87,2018,3,day4,25.773288,21.541587
88,2018,3,day5,29.196261,21.408463
89,2018,3,day6,24.442124,18.498162
90,2018,3,day7,24.343478,17.30107
91,2018,3,day8,28.52321,24.009644
92,2018,3,day9,26.779897,20.580683
93,2018,4,day1,30.170035,25.17541
94,2018,4,day10,27.913847,23.058858
95,2018,4,day11,27.406242,23.1717
96,2018,4,day12,27.273839,19.332603
97,2018,4,day13,26.591218,19.454936
98,2018,4,day14,27.73005,22.03802
99,2018,4,day15,30.743906,22.762215
100,2018,4,day16,28.33461,21.460977
101,2018,4,day17,25.928781,20.74195
102,2018,4,day18,30.812256,24.495535
103,2018,4,day19,28.253171,21.261269
104,2018,4,day2,26.141253,20.346799
105,2018,4,day20,25.342992,19.006281
106,2018,4,day21,28.017102,20.606223
107,2018,4,day22,25.944596,18.101481
108,2018,4,day23,25.480669,20.737369
109,2018,4,day24,28.570211,21.86936
110,2018,4,day25,26.411223,21.931677
111,2018,4,day26,30.341724,25.356862
112,2018,4,day27,28.567115,22.089589
113,2018,4,day28,27.515349,21.18066
114,2018,4,day29,28.136696,20.397871
115,2018,4,day3,27.53129,22.417109
116,2018,4,day30,26.225555,19.360788
117,2018,4,day31,26.432116,20.848972
118,2018,4,day4,26.498839,18.805776
119,2018,4,day5,27.658784,20.213388
120,2018,4,day6,28.301952,24.099599
121,2018,4,day7,30.995695,23.651584
122,2018,4,day8,30.813978,23.10851
123,2018,4,day9,30.092174,25.42693
124,2018,5,day1,27.958345,22.758356
125,2018,5,day10,27.59827,19.649338
126,2018,5,day11,27.852061,23.820769
127,2018,5,day12,28.830828,23.633313
128,2018,5,day13,27.908536,20.152816
129,2018,5,day14,24.73395,20.272235
130,2018,5,day15,24.570419,18.357525
131,2018,5,day16,25.562293,19.142973
132,2018,5,day17,28.233876,23.419487
133,2018,5,day18,27.733631,22.677695
134,2018,5,day19,26.859394,19.238048
135,2018,5,day2,25.825266,18.817808
136,2018,5,day20,29.004826,24.635632
137,2018,5,day21,26.469658,21.362937
138,2018,5,day22,23.949477,16.865
139,2018,5,day23,27.750883,22.703062
140,2018,5,day24,28.375589,22.168867
141,2018,5,day25,26.494325,22.455646
142,2018,5,day26,24.379666,16.847241
143,2018,5,day27,29.351775,23.169414
144,2018,5,day28,28.935773,22.605735
145,2018,5,day29,24.816766,20.306984
146,2018,5,day3,24.363462,18.53032
147,2018,5,day30,25.777753,18.181827
148,2018,5,day31,28.704937,21.262127
149,2018,5,day4,29.91893,21.934544
150,2018,5,day5,24.367768,19.51515
151,2018,5,day6,25.519406,17.786368
152,2018,5,day7,29.213388,21.696307
153,2018,5,day8,26.145366,21.514378
154,2018,5,day9,28.930673,22.116513
155,2018,6,day1,26.393548,21.553242
156,2018,6,day10,25.813411,18.357155
157,2018,6,day11,25.864496,20.797273
158,2018,6,day12,25.724247,21.291865
159,2018,6,day13,26.233001,18.798628
160,2018,6,day14,22.334602,15.068256
161,2018,6,day15,23.761819,18.541056
162,2018,6,day16,25.772073,20.861691
163,2018,6,day17,21.141987,16.369467
164,2018,6,day18,22.969572,15.51216
165,2018,6,day19,26.801335,21.684835
166,2018,6,day2,22.497178,18.086004
167,2018,6,day20,24.84889,19.250177
168,2018,6,day21,26.886898,20.742035
169,2018,6,day22,26.635423,22.174056
170,2018,6,day23,26.822404,22.108132
171,2018,6,day24,26.775206,21.71334
172,2018,6,day25,21.650415,15.91216
173,2018,6,day26,25.37127,20.116561
174,2018,6,day27,24.637253,18.591561
175,2018,6,day28,23.311173,17.00482
176,2018,6,day29,22.528335,15.693194
177,2018,6,day3,25.680697,18.144159
178,2018,6,day30,21.010148,13.307847
179,2018,6,day31,24.230712,17.352992
180,2018,6,day4,23.438264,16.955618
181,2018,6,day5,21.92732,14.207796
182,2018,6,day6,26.187634,18.28281
183,2018,6,day7,25.86463,18.338966
184,2018,6,day8,21.148718,14.20246
185,2018,6,day9,22.993113,15.269849
186,2018,7,day1,21.4517,14.769186
187,2018,7,day10,22.416833,15.954774
188,2018,7,day11,18.805699,12.61395
189,2018,7,day12,17.002436,11.854781
190,2018,7,day13,19.579329,13.25939
191,2018,7,day14,20.928234,15.068281
192,2018,7,day15,19.652959,14.798153
193,2018,7,day16,19.839117,12.234394
194,2018,7,day17,21.776149,17.097383
195,2018,7,day18,17.508773,11.446965
196,2018,7,day19,20.797645,15.456892
197,2018,7,day2,19.185329,14.905434
198,2018,7,day20,21.910541,14.905988
199,2018,7,day21,21.036774,16.138211
200,2018,7,day22,18.19478,14.097078
201,2018,7,day23,18.469055,12.56851
202,2018,7,day24,22.098426,17.807113
203,2018,7,day25,19.486646,12.967585
204,2018,7,day26,18.166611,11.381194
205,2018,7,day27,19.966263,14.990325
206,2018,7,day28,20.936348,16.914169
207,2018,7,day29,21.505787,14.425602
208,2018,7,day3,20.985426,15.664626
209,2018,7,day30,17.639524,11.938939
210,2018,7,day31,18.05532,10.223456
211,2018,7,day4,18.883494,11.491433
212,2018,7,day5,21.318526,16.117237
213,2018,7,day6,18.855708,13.222136
214,2018,7,day7,19.414402,14.231782
215,2018,7,day8,17.763727,12.081941
216,2018,7,day9,22.642182,15.93291
217,2018,8,day1,16.107747,11.906873
218,2018,8,day10,15.848047,10.81128
219,2018,8,day11,14.483438,7.932793
220,2018,8,day12,17.594882,11.509683
221,2018,8,day13,16.760491,11.662101
222,2018,8,day14,13.4649,8.321988
223,2018,8,day15,14.630291,9.351452
224,2018,8,day16,16.240913,11.687417
225,2018,8,day17,14.387569,7.61177
226,2018,8,day18,17.238515,12.981599
227,2018,8,day19,15.445596,9.275152
228,2018,8,day2,14.49519,7.101844
229,2018,8,day20,15.494645,10.667308
230,2018,8,day21,15.520861,7.901507
231,2018,8,day22,16.504476,9.722385
232,2018,8,day23,18.140392,11.078014
233,2018,8,day24,15.282286,11.258702
234,2018,8,day25,15.110553,8.096652
235,2018,8,day26,18.120688,10.306966
236,2018,8,day27,15.514128,8.524065
237,2018,8,day28,16.276794,9.863784
238,2018,8,day29,14.323232,9.445546
239,2018,8,day3,15.738771,8.533105
240,2018,8,day30,15.615016,11.498917
241,2018,8,day31,15.016777,8.30021
242,2018,8,day4,17.005466,9.053897
243,2018,8,day5,16.572714,8.772555
244,2018,8,day6,18.348556,11.897946
245,2018,8,day7,17.315644,11.296531
246,2018,8,day8,17.983415,11.791927
247,2018,8,day9,18.383249,11.408627
248,2018,9,day1,12.497697,7.837518
249,2018,9,day10,14.583856,7.256159
250,2018,9,day11,11.585426,7.257801
251,2018,9,day12,10.188096,4.03042
252,2018,9,day13,16.071244,10.671402
253,2018,9,day14,13.972661,6.847729
254,2018,9,day15,13.982325,6.965392
255,2018,9,day16,15.769467,10.972024
256,2018,9,day17,10.194077,5.584547
257,2018,9,day18,10.829123,4.151287
258,2018,9,day19,13.455614,8.583756
259,2018,9,day2,12.876138,8.365626
260,2018,9,day20,14.268587,7.200994
261,2018,9,day21,11.078532,4.649542
262,2018,9,day22,14.559351,10.101219
263,2018,9,day23,14.987604,7.128721
264,2018,9,day24,10.720389,6.617676
265,2018,9,day25,11.94354,5.234151
266,2018,9,day26,15.820834,10.234216
267,2018,9,day27,14.361885,10.057899
268,2018,9,day28,14.215483,7.706514
269,2018,9,day29,10.683205,3.593281
270,2018,9,day3,13.805339,9.697473
271,2018,9,day30,15.173556,8.77191
272,2018,9,day31,10.798127,2.86275
273,2018,9,day4,12.435918,6.17835
274,2018,9,day5,10.234409,3.66341
275,2018,9,day6,10.885994,5.0392
276,2018,9,day7,10.373505,4.857089
277,2018,9,day8,11.341758,6.034375
278,2018,9,day9,14.639175,9.12267
279,2018,10,day1,13.695812,8.306997
280,2018,10,day10,12.229037,6.295047
281,2018,10,day11,11.613447,4.689342
282,2018,10,day12,10.610373,3.203521
283,2018,10,day13,13.984386,9.637735
284,2018,10,day14,14.289787,9.314333
285,2018,10,day15,11.788251,5.346924
286,2018,10,day16,11.273936,7.159136
287,2018,10,day17,14.105717,9.378358
288,2018,10,day18,10.272719,3.08139
289,2018,10,day19,11.042033,3.520753
290,2018,10,day2,11.570268,6.087985
291,2018,10,day20,13.207103,8.102028
292,2018,10,day21,9.060907,1.268656
293,2018,10,day22,9.513678,2.633379
294,2018,10,day23,11.931467,4.898808
295,2018,10,day24,13.143656,6.560044
296,2018,10,day25,11.944928,4.773197
297,2018,10,day26,9.55832,4.671935
298,2018,10,day27,13.150723,7.925899
299,2018,10,day28,12.489334,6.596292
300,2018,10,day29,12.185532,6.483516
301,2018,10,day3,12.035765,6.67084
302,2018,10,day30,13.475613,8.152447
303,2018,10,day31,13.21713,8.133464
304,2018,10,day4,14.097454,6.80813
305,2018,10,day5,9.633233,1.790083
306,2018,10,day6,12.813511,5.498681
307,2018,10,day7,13.243852,7.501903
308,2018,10,day8,13.402772,5.540877
309,2018,10,day9,10.620494,3.387698
310,2018,11,day1,11.580219,7.097595
311,2018,11,day10,13.276607,8.179362
312,2018,11,day11,15.917566,9.70413
313,2018,11,day12,14.256301,9.751183
314,2018,11,day13,15.282564,9.319049
315,2018,11,day14,15.308115,9.011858
316,2018,11,day15,12.888178,7.126303
317,2018,11,day16,11.177979,6.972472
318,2018,11,day17,15.718178,9.807262
319,2018,11,day18,15.004491,9.401661
320,2018,11,day19,10.51629,3.998507
321,2018,11,day2,11.227303,6.749084
322,2018,11,day20,10.393451,5.796661
323,2018,11,day21,13.448834,8.233492
324,2018,11,day22,16.035306,11.561499
325,2018,11,day23,14.658457,8.233187
326,2018,11,day24,14.816242,9.913493
